saved_at,page_slug,page_url,content_type,viewport,screenshot_file,status,error,source,local_images_injected
20260612-193958,strategia-in-catia-v5,https://ionutojica.ro/strategia-in-catia-v5/,post,mobile-390,screenshots/posts/mobile-390/strategia-in-catia-v5.png,ok,,live_url,True
20260612-193958,invata-catia-v5-de-la-zero,https://ionutojica.ro/invata-catia-v5-de-la-zero/,post,desktop-1440,screenshots/posts/desktop-1440/invata-catia-v5-de-la-zero.png,ok,,live_url,True
20260612-193958,invata-catia-v5-de-la-zero,https://ionutojica.ro/invata-catia-v5-de-la-zero/,post,mobile-390,screenshots/posts/mobile-390/invata-catia-v5-de-la-zero.png,ok,,live_url,True
20260612-193958,2-formule-de-arie-in-excel,https://ionutojica.ro/2-formule-de-arie-in-excel/,post,desktop-1440,screenshots/posts/desktop-1440/2-formule-de-arie-in-excel.png,ok,,live_url,True
20260612-193958,2-formule-de-arie-in-excel,https://ionutojica.ro/2-formule-de-arie-in-excel/,post,mobile-390,screenshots/posts/mobile-390/2-formule-de-arie-in-excel.png,ok,,live_url,True
20260612-193958,cum-sa-instalez-mautic-gata-pentru-productie,https://ionutojica.ro/cum-sa-instalez-mautic-gata-pentru-productie/,post,desktop-1440,screenshots/posts/desktop-1440/cum-sa-instalez-mautic-gata-pentru-productie.png,ok,,live_url,True
20260612-193958,cum-sa-instalez-mautic-gata-pentru-productie,https://ionutojica.ro/cum-sa-instalez-mautic-gata-pentru-productie/,post,mobile-390,screenshots/posts/mobile-390/cum-sa-instalez-mautic-gata-pentru-productie.png,ok,,live_url,True
20260612-193958,excel-a-dezactivat-toate-butoanele,https://ionutojica.ro/excel-a-dezactivat-toate-butoanele/,post,desktop-1440,screenshots/posts/desktop-1440/excel-a-dezactivat-toate-butoanele.png,ok,,live_url,True
20260612-193958,excel-a-dezactivat-toate-butoanele,https://ionutojica.ro/excel-a-dezactivat-toate-butoanele/,post,mobile-390,screenshots/posts/mobile-390/excel-a-dezactivat-toate-butoanele.png,ok,,live_url,True
20260612-193958,toate-functiile-mautic-partea-1,https://ionutojica.ro/toate-functiile-mautic-partea-1/,post,desktop-1440,screenshots/posts/desktop-1440/toate-functiile-mautic-partea-1.png,ok,,live_url,True
20260612-193958,toate-functiile-mautic-partea-1,https://ionutojica.ro/toate-functiile-mautic-partea-1/,post,mobile-390,screenshots/posts/mobile-390/toate-functiile-mautic-partea-1.png,ok,,live_url,True
20260612-193958,pornirea-vps-pentru-mautic,https://ionutojica.ro/pornirea-vps-pentru-mautic/,post,desktop-1440,screenshots/posts/desktop-1440/pornirea-vps-pentru-mautic.png,ok,,live_url,True
20260612-193958,pornirea-vps-pentru-mautic,https://ionutojica.ro/pornirea-vps-pentru-mautic/,post,mobile-390,screenshots/posts/mobile-390/pornirea-vps-pentru-mautic.png,ok,,live_url,True
20260612-193958,cum-reactionezi-cand-a-venit-stresul-dar-inca-nu-stii,https://ionutojica.ro/cum-reactionezi-cand-a-venit-stresul-dar-inca-nu-stii/,post,desktop-1440,screenshots/posts/desktop-1440/cum-reactionezi-cand-a-venit-stresul-dar-inca-nu-stii.png,ok,,live_url,True
20260612-193958,cum-reactionezi-cand-a-venit-stresul-dar-inca-nu-stii,https://ionutojica.ro/cum-reactionezi-cand-a-venit-stresul-dar-inca-nu-stii/,post,mobile-390,screenshots/posts/mobile-390/cum-reactionezi-cand-a-venit-stresul-dar-inca-nu-stii.png,ok,,live_url,True
20260612-193958,o-noua-versiune-mautic-4-3-promite-noi-functii,https://ionutojica.ro/o-noua-versiune-mautic-4-3-promite-noi-functii/,post,desktop-1440,screenshots/posts/desktop-1440/o-noua-versiune-mautic-4-3-promite-noi-functii.png,ok,,live_url,True
20260612-193958,o-noua-versiune-mautic-4-3-promite-noi-functii,https://ionutojica.ro/o-noua-versiune-mautic-4-3-promite-noi-functii/,post,mobile-390,screenshots/posts/mobile-390/o-noua-versiune-mautic-4-3-promite-noi-functii.png,ok,,live_url,True
20260612-193958,mautic-este-gratuit-pur-si-simplu-care-sunt-minusurile,https://ionutojica.ro/mautic-este-gratuit-pur-si-simplu-care-sunt-minusurile/,post,desktop-1440,screenshots/posts/desktop-1440/mautic-este-gratuit-pur-si-simplu-care-sunt-minusurile.png,ok,,live_url,True
20260612-193958,mautic-este-gratuit-pur-si-simplu-care-sunt-minusurile,https://ionutojica.ro/mautic-este-gratuit-pur-si-simplu-care-sunt-minusurile/,post,mobile-390,screenshots/posts/mobile-390/mautic-este-gratuit-pur-si-simplu-care-sunt-minusurile.png,ok,,live_url,True
